,Unnamed: 0,Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language,Agency,Categories,Health,Housing,Food,Arts,Construction,Economic,Education,Environment,Essential Services,Equality,Events,Historical,Human Services,Mental Health,Occupational,Recreation,Rehabilitation,Religious,Transport,Technology,Youth Programs,Accessibility,Maintenance,Research,amdt_match,Amendment No.,Title,Sponsor,Subject,Consolidated Amendment,Status
76,239,Easthampton Library Improvements,Easthampton,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $50,000 shall be expended for the Emily Williston Memorial Library and Museum in the city of Easthampton",MMP,"Arts, Education, Maintenance",False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Easthampton Library Improvements,679,Easthampton Library Improvements,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
77,240,Easthampton Outdoor Spaces,Easthampton,10000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $10,000 shall be expended to the parks and recreation department in the city of Easthampton for the expansion of pandemic friendly and safe outdoor spaces",DCR,Recreation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Easthampton Outdoor Spaces,692,Easthampton Outdoor Spaces,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
78,241,Easton Housing Authority,Easton,22000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $22,000 shall be expended to the Easton housing authority to make facilities upgrades to the heating, ventilation and air conditioning and electrical systems",DHC,"Housing, Maintenance, Technology",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,Easton Housing Authority,600-R1,Easton Housing Authority,"Timilty, Walter F. (SEN)",Local,Yes Bundle 3,Adopted
79,242,Easton PFAS Water Treatment,Easton,2000000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $2,000,000 shall be expended for PFAS treatment plants in the town of Easton",DEP,"Environment, Research",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Easton PFAS Water Treatment,931,Easton PFAS Water Treatment,"Cronin, Claire D. (HOU)",Infrastructure,C,Consolidated
80,243,Easton School Tutoring Services,Easton,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further that $100,000 be expended to the town of Easton for additional tutoring services for students of the Easton public schools",DES,Education,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Easton School Tutoring Services,601,Easton School Tutoring Services,"Timilty, Walter F. (SEN)",Local,Yes Bundle 3,Adopted
81,255,Enrichment Center in Dorchester,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for Enrichment center in Dorchester",HED,Economic,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Enrichment Center in Dorchester,205,Enrichment Center in Dorchester,"Holmes, Russell E. (HOU)",Economic Development,D,Consolidated
82,259,Essex County Habitat for Humanity,Essex County,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the Essex County Habitat for Humanity to provide affordable housing options to residents of the county of Essex",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Essex County Habitat for Humanity,87-R1,Essex County Habitat for Humanity,"Finegold, Barry R. (SEN)",Economic Development,Yes Bundle 1,Adopted
83,260,E-Team Machinist Training Program,Lynn,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended for the E-Team Machinist Training program in the city of Lynn",HED,"Occupational, Transport",False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,E-Team Machinist Training Program,612,E-Team Machinist Training Program,"Capano, Peter (HOU)",Workforce,D,Consolidated
84,261,Everett First Time Home Buyers Program,Everett,400000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $400,000 shall be expended for a financial assistance program to benefit the city of Everett residents who are first time home buyers",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Everett First Time Home Buyers Program,532,Everett First Time Home Buyers Program,"McGonagle, Jr., Joseph W. (HOU)",Housing,A,Consolidated
85,266,Everett Substance Abuse Prevention Counselors,Everett,300000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $300,000 shall be expended to the City of Everett to hire additional substance abuse counselors to work with the Everett Police Department and the Everett Department of Public Health to provide support and assistance to unhoused members of the community",DPH,"Transport, Essential Services, Occupational, Rehabilitation, Health",True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,Everett Substance Abuse Prevention Counselors,534,Everett Substance Abuse Prevention Counselors,"McGonagle, Jr., Joseph W. (HOU)",Health and Human Services,B,Consolidated
86,275,Fall River Arts & Culture Coalition,Fall River,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended for the Fall River Arts & Culture Coalition to provide programming for arts and culture projects committed to equity, accessibility and collaboration in Fall River",MMP,"Arts, Research, Equality",False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Fall River Arts & Culture Coalition,249,Fall River Arts & Culture Coalition,"Fiola, Carole A. (HOU)",Economic Development,D,Consolidated
87,276,Falmouth Water Main Replacement,Falmouth,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $250,000 shall be made available for the town of Falmouth for water main replacements",DEP,"Environment, Maintenance",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Falmouth Water Main Replacement,357,Falmouth Water Main Replacement,"Moran, Susan L. (SEN)",Environment,Yes Bundle 2,Adopted
88,281,Fitchburg Theater Block,Fitchburg,3000000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $3,000,000 shall be made available to Fitchburg State University for the purpose of renovating the historic theater block",HED,"Arts, Historical",False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Fitchburg Theater Block,152-R1,Fitchburg Theater Block,"Cronin, John J. (SEN)",Economic Development,Yes Bundle 1,Adopted
89,282,Fitchburg Youth Innovation Center,Fitchburg,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for Making Opportunity Count (MOC) for the completion of the Youth Innovation Center, which will allow students access to a creative space and critical resources in a disproportionately affected neighborhood",HED,"Youth Programs, Equality",False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Fitchburg Youth Innovation Center,440,Fitchburg Youth Innovation Center,"Kushmerek, Michael P. (HOU)",Education,B,Consolidated
90,283,Flooding Alleviation Study for Strawberry Brook in Lynn,Lynn,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for a study to alleviate flooding from collapsed underground culverts along Strawberry brook in the city of Lynn",DCR,"Environment, Research",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Flooding Alleviation Study for Strawberry Brook in Lynn,653,Flooding Alleviation Study for Strawberry Brook in Lynn,"Capano, Peter (HOU)",Environment/Climate,C,Consolidated
91,287,Forbes House Museum,Milton,30000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $30,000 shall be expended for the Forbes House Museum in Milton",MMP,Arts,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Forbes House Museum,460,Forbes House Museum,"Driscoll, Jr., William J. (HOU)",Economic Development,D,Consolidated
92,290,Foxborough Affordable Housing Infrastructure,Foxborough,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for signal and sewer infrastructure to support up to 250 affordable housing units through the Foxborough Housing Authority in the town of Foxborough",DHC,"Housing, Environment",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Foxborough Affordable Housing Infrastructure,148,Foxborough Affordable Housing Infrastructure,"Feeney, Paul R. (SEN)",Economic Development,Yes Bundle 1,Adopted
93,290,Foxborough Affordable Housing Infrastructure,Foxborough,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for signal and sewer infrastructure to support up to 250 affordable housing units through the Foxborough Housing Authority in the town of Foxborough",DHC,"Housing, Environment",False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Foxborough Affordable Housing Infrastructure,1014,Foxborough Affordable Housing Infrastructure,"Barrows, F. Jay (HOU)",Housing,A,Consolidated
94,291,Framingham Public Schools Welcome Center Health Clinic,Framingham,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $250,000 shall be expended for the construction of a health clinic at the Framingham public schools welcome center",DES,"Construction, Education, Health",True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Framingham Public Schools Welcome Center Health Clinic,167,Framingham Public Schools Welcome Center Health Clinic,"Robinson, Maria Duaime (HOU)",Education,B,Consolidated
95,293,Franklin County and North Quabbin Affordable Housing,Franklin,370000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $370,000 shall be expended for Rural Development Inc. for operating costs and expenses incurred from the development of affordable housing in Franklin county and the North Quabbin region",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Franklin County and North Quabbin Affordable Housing,578,Franklin County and North Quabbin Affordable Housing,"Comerford, Joanne M. (SEN)",Local,Yes Bundle 3,Adopted
96,294,Franklin County and North Quabbin Public Housing Repairs and Improvements,Franklin,221500,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $221,500 shall be expended for Franklin County Regional Housing and Redevelopment Authority for maintenance, repairs, renovations and improvements to properties in Franklin county and the North Quabbin region",DHC,"Housing, Maintenance",False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Franklin County and North Quabbin Public Housing Repairs and Improvements,577,Franklin County and North Quabbin Public Housing Repairs and Improvements,"Comerford, Joanne M. (SEN)",Local,Yes Bundle 3,Adopted
97,295,Franklin County Outdoor Recreation,Charlemont,500000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $500,000 shall be provided to Charlemont parks and recreation commission in the town of Charlemont to enhance the outdoor recreation economy in the county of Franklin",DCR,Recreation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Franklin County Outdoor Recreation,399,Franklin County Outdoor Recreation,"Hinds, Adam G. (SEN)",Environment,Yes Bundle 3,Adopted
98,296,Frederick Douglass House,New Bedford,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Frederick Douglass House in New Bedford",MMP,Historical,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,Frederick Douglass House,767,Frederick Douglass House,"Cabral, Antonio F. D. (HOU)",Economic Development,D,Consolidated
99,305,Gill Elementary School,Gill,75000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $75,000 shall be expended for the town of Gill for improvements to the Gill elementary school",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Gill Elementary School,113,Gill Elementary School,"Whipps, Susannah M. (HOU)",Education,B,Consolidated
100,306,Girls Inc. of Taunton,Taunton,5000,EEC - Department Of Early Education & Care,sean.reynolds@mass.gov,70100013,"provided further, than not less than $5,000 shall be expended for Girls Inc. of Taunton",EEC,Youth Programs,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,Girls Inc. of Taunton,365,Girls Inc. of Taunton,"Doherty, Carol A. (HOU)",Education,B,Consolidated
101,311,Grafton HVAC Upgrades,Grafton,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for town of Grafton to replace and upgrade the heating and ventilation units within the Grafton public schools",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Grafton HVAC Upgrades,736,Grafton HVAC Upgrades,"Muradian, Jr., David K. (HOU)",Education,B,Consolidated
102,312,Grafton Public Schools Security Upgrade,Grafton,125000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $125,000 shall be expended to the town of Grafton for security upgrades within the Grafton public schools",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Grafton Public Schools Security Upgrade,566,Grafton Public Schools Security Upgrade,"Moore, Michael O. (SEN)",Local,Yes Bundle 3,Adopted
103,315,Greater Boston Stage Company COVID-19 Safety Upgrade,Stoneham,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $100,000 shall be expended to the Greater Boston Stage Company in the town of Stoneham for COVID-19 safety upgrades and other capital improvements",MMP,"Maintenance, Human Services, Arts, Health",True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,Greater Boston Stage Company COVID-19 Safety Upgrade,50,Greater Boston Stage Company COVID-19 Safety Upgrade,"Lewis, Jason M. (SEN)",Economic Development,Yes Bundle 1,Adopted
104,321,Greater New Bedford Community Health Center,New Bedford,250000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $250,000 shall be expended to the Greater New Bedford Community Health Center for costs associated with the implementation of a new electronic health record system to meet the ongoing needs of providing primary care for vulnerable patients who have been disproportionately impacted by the COVID-19 pandemic",EHS,"Health, Equality",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Greater New Bedford Community Health Center,299-R1,Greater New Bedford Community Health Center,"Montigny, Mark C. (SEN)",Health and Human Services,Yes Bundle 2,Adopted
105,321,Greater New Bedford Community Health Center,New Bedford,250000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $250,000 shall be expended to the Greater New Bedford Community Health Center for costs associated with the implementation of a new electronic health record system to meet the ongoing needs of providing primary care for vulnerable patients who have been disproportionately impacted by the COVID-19 pandemic",EHS,"Health, Equality",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Greater New Bedford Community Health Center,835,Greater New Bedford Community Health Center,"Cabral, Antonio F. D. (HOU)",Health and Human Services,B,Consolidated
106,325,Groton Access Walkway,Groton,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that $150,000 shall be expended to the town of Groton for a public access walkway to the Groton Hills Music Center",HED,Recreation,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,Groton Access Walkway,505,Groton Access Walkway,"Kennedy, Edward J. (SEN)",Local,Yes Bundle 3,Adopted
107,326,Groton Route 119,Groton,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the repaving of a section of Route 119 in Groton",HED,Transport,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,Groton Route 119,669,Groton Route 119,"Harrington, Sheila C. (HOU)",Economic Development,D,Consolidated
108,329,Hadley Public Safety,Hadley,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended to the town of Hadley public safety departments",HED,Human Services,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Hadley Public Safety,687,Hadley Public Safety,"Carey, Daniel R. (HOU)",Workforce,D,Consolidated
109,331,Hancock Elementary School,Hancock,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $250,000 shall be expended for a modular classroom pod and installation at the Hancock elementary school in the city of Brockton",DES,Education,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Hancock Elementary School,913,Hancock Elementary School,"Cassidy, Gerard J. (HOU)",Education,B,Consolidated
110,332,Hanover Water Division PFAS Mitigation,Hanover,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the town of Hanover water division for perfluoroalkyl and polyfluoroalkyl substances mitigation",DEP,"Environment, Rehabilitation",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,Hanover Water Division PFAS Mitigation,186,Hanover Water Division PFAS Mitigation,"DeCoste, David F. (HOU)",Infrastructure,C,Consolidated
111,334,Harbor Health Elder Service Plan,Boston,75000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $75,000 shall be expended to Harbor Health Services Inc. for the Elder Service Plan in Mattapan",EHS,"Human Services, Research, Health",True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Harbor Health Elder Service Plan,571,Harbor Health Elder Service Plan,"Fluker Oakley, Brandy (HOU)",Health and Human Services,B,Consolidated
112,335,Haverhill Public Schools Capital & Safety Improvements,Haverhill,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $250,000 shall be expended for Haverhill public schools for capital and safety improvements",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Haverhill Public Schools Capital & Safety Improvements,743,Haverhill Public Schools Capital & Safety Improvements,"Vargas, Andres X. (HOU)",Education,B,Consolidated
113,340,Health Equity Institute,Boston,5000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than 5,000,000 shall be expended for the establishment of a health equity institute to be provided by a state primary care association qualified under section 330A(f)(1) of the Public Health Service Act, 42 U.S.C. section 254c(f)",EHS,"Health, Equality",True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Health Equity Institute,272-R1,Health Equity Institute,"Gomez, Adam (SEN)",Health and Human Services,Yes Bundle 2,Adopted
114,346,Hilltown Mobile Market,Huntington,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to the Hilltown Mobile Market",MDA,Economic,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Hilltown Mobile Market,400,Hilltown Mobile Market,"Hinds, Adam G. (SEN)",Environment,Yes Bundle 2,Adopted
115,346,Hilltown Mobile Market,Huntington,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to the Hilltown Mobile Market",MDA,Economic,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Hilltown Mobile Market,344,Hilltown Mobile Market,"Blais, Natalie M. (HOU)",Misc.,D,Consolidated
116,348,Hispanic American Library,Springfield,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $50,000 shall be expended to the Hispanic American Library in the city of Springfield",HED,"Education, Equality",False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Hispanic American Library,125-R1,Hispanic American Library,"Gomez, Adam (SEN)",Economic Development,Yes Bundle 1,Adopted
117,349,Hispanic Senior Programs in Southbridge,Southbridge,25000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $25,000 shall be expended for the Hispanic senior population and other senior populations economically affected by the 2019 novel coronavirus pandemic in Southbridge",HED,"Economic, Human Services, Equality",False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,Hispanic Senior Programs in Southbridge,237,Hispanic Senior Programs in Southbridge,"Durant, Peter J. (HOU)",Economic Development,D,Consolidated
118,350,Hix Bridge Landing Engineering Project,Westport,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended for the Hix bridge landing engineering project to rebuild the town landing and accompanying structures in the town of Westport to improve public access and use",DCR,"Maintenance, Research",False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,Hix Bridge Landing Engineering Project,686,Hix Bridge Landing Engineering Project,"Schmid, III, Paul A. (HOU)",Environment/Climate,C,Consolidated
119,352,Holyoke Community College Workforce Development Program,Holyoke,50000,LWD - Executive Office Of Labor And Workforce Development,sheila.l.tunney2@mass.gov,70030102,"provided further, that not less than $50,000 shall be expended to Holyoke Community College for workforce development programs",LWD,Occupational,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,Holyoke Community College Workforce Development Program,709,Holyoke Community College Workforce Development Program,"Velis, John C. (SEN)",Local,Yes Bundle 3,Adopted
120,354,Homeless Prevention Council and Community Development Partnership,Barnstable,1000000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $1,000,000 shall be expended for the Homeless Prevention Council, Inc. and the Community Development Partnership to support the unique regional housing and year-round resident needs on the Lower and Outer Cape",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Homeless Prevention Council and Community Development Partnership,295,Homeless Prevention Council and Community Development Partnership,"Peake, Sarah K. (HOU)",Housing,A,Consolidated
121,357,Hopkinton HVAC Upgrades,Hopkinton,300000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,70100015,"provided further, that not less than $300,000 shall be expended for heating, ventilation and air conditioning upgrades to schools and public buildings in the town of Hopkinton",ANF,"Education, Construction, Maintenance",False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,Hopkinton HVAC Upgrades,505,Hopkinton HVAC Upgrades,"Dykema, Carolyn C. (HOU)",Education,B,Consolidated
122,358,Housing and Supportive Services for Survivors of Trafficking,Boston,750000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $750,000 shall be expended for Health Imperatives, Inc. and the Planning Office for Urban Affairs, Inc. for the Housing and Supportive Services for survivors of trafficking program",DHC,"Housing, Research, Health",True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,Housing and Supportive Services for Survivors of Trafficking,352,Housing and Supportive Services for Survivors of Trafficking,"Cassidy, Gerard J. (HOU)",Housing,A,Consolidated
123,363,Housing Development in the City of Lowell,Lowell,75000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $75,000 shall be expended for the city of Lowell to support the development of housing opportunities for individuals experiencing homelessness",DHC,Housing,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Housing Development in the City of Lowell,28,Housing Development in the City of Lowell,"Howard, Vanna (HOU)",Housing,A,Consolidated
124,365,Housing Study for the town of Braintree,Braintree,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended to the city known as the town of Braintree for a feasibility study to increase affordable housing stock for seniors, veterans and persons with disabilities",DHC,"Housing, Recreation, Human Services, Research, Equality",False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,Housing Study for the town of Braintree,966,Housing Study for the town of Braintree,"Cusack, Mark J. (HOU)",Housing,A,Consolidated
125,371,HVAC at Morey Elementary School,Lowell,150000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $150,000 shall be expended for Lowell public schools to upgrade the heating, ventilation and air conditioning system at Morey elementary school",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,HVAC at Morey Elementary School,384,HVAC at Morey Elementary School,"Mom, Rady (HOU)",Education,B,Consolidated
126,374,HVAC System Upgrades for Silver Lake Regional High School,Kingston,210000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $210,000 shall be expended for heating, ventilation and air conditioning system upgrades in Silver Lake regional high school",DES,"Education, Maintenance",False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,HVAC System Upgrades for Silver Lake Regional High School,68,HVAC System Upgrades for Silver Lake Regional High School,"LaNatra, Kathleen R. (HOU)",Education,B,Consolidated
127,375,Hyde Park Community Center,Boston,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended for the Hyde Park Community Center located in the Hyde Park section of the city of Boston",HED,"Recreation, Human Services",False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,Hyde Park Community Center,623,Hyde Park Community Center,"Rush, Michael F. (SEN)",Local,Yes Bundle 3,Adopted
128,400,John Silva Jr. Sports Complex,East Bridgewater,55000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $55,000 shall be expended for renovations to the John Silva Jr. sports complex in East Bridgewater",MMP,"Environment, Recreation, Maintenance",False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,John Silva Jr. Sports Complex,145,John Silva Jr. Sports Complex,"Sullivan, Alyson M. (HOU)",Economic Development,D,Consolidated
129,402,Jones River Village Historical Society,Kingston,25000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $25,000 shall be expended for the Jones River Village Historical Society, Inc. to offset lost revenue due to the 2019 novel coronavirus pandemic",MMP,"Human Services, Historical",False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,Jones River Village Historical Society,70,Jones River Village Historical Society,"LaNatra, Kathleen R. (HOU)",Economic Development,D,Consolidated
130,404,Kennedy Elementary School,Brockton,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $250,000 shall be expended for a modular classroom pod and installation at the Kennedy elementary school in the city of Brockton",DES,Education,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,Kennedy Elementary School,916,Kennedy Elementary School,"Cassidy, Gerard J. (HOU)",Education,B,Consolidated
131,408,Kingston Wastewater Management,Kingston,125000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $125,000 shall be made available for the town of Kingston for comprehensive wastewater management planning",DEP,"Human Services, Research, Environment",False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,Kingston Wastewater Management,354,Kingston Wastewater Management,"Moran, Susan L. (SEN)",Environment,Yes Bundle 2,Adopted
