Earmark Description,Location,Amount,Administering State Agency,State Agency Contact,Account Number,Earmark Language
Dedham Community Association,Dedham,50000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended for promoting educational, recreational and civic interests for the Dedham Community Association, Inc. located in the town of Dedham"
Dedham Council on Aging,Dedham,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended for the Dedham Council on Aging for programing and technology upgrades"
Dedham Square Circle,Dedham,50000,SEA - Department Of Business And Technology,nhat.le@mass.gov,70021530,"provided further, not less than $50,000 shall be expended for promoting business and economic development for Dedham Square Circle, Ltd. in the town of Dedham"
Department of Public Works Trailers With Air Filtration Systems,Hadley,100000,DCR - Department Of Conservation And Recreation,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $100,000 shall be expended to the town of Hadley for department of public works trailers with adequate air filtration systems"
Design and Construction of an ADA-Compliant Public Safety Building,Pembroke,225000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992032,"provided further, that not less than $225,000 shall be expended to the town of Pembroke toward the design, engineering, and construction of a new, ADA-complaint, Pembroke public safety building"
Design of Downtown Intergenerational Public Facility,Mansfield,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $100,000 shall be expended for the preliminary design of a downtown intergenerational public facility to be built in the town of Mansfield, which will include elder program space and a center for food distribution to help communities in need"
Design Plan for New Municipal Septic System,Sutton,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the town of Sutton for a design plan for a new municipal septic system for the Sutton municipal center and public schools"
Design Plan for New Water Sewer Treatment Plan,Scituate,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $100,000 shall be expended to the town of Scituate for a design plan for a new sewer treatment plant"
"Destiny Molders Church in Randolph, Inc.",Randolph,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"(f) Destiny Molders Church, Inc. in the city known as the town of Randolph"
Development and Installation of New Firefighting Water Cisterns,Stow,300000,DFS - Department Of Fire Services,David.Clemons@mass.gov,15992032,"provided further, that not less than $300,000 shall be expended for the town of Stow for the development and installation of new firefighting water cisterns"
Development of Municipal Broadband Network,Milton,250000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992032,"provided further, that not less than $250,000 shall be expended for the town of Milton toward developing Milton’s municipal broadband network"
Devencrest Housing Authority,Ayer,250000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $250,000 shall be expended to the Massachusetts Law Reform Institute, Inc. to support the residents of the Devenscrest housing development in the town of Ayer for the purposes of maintaining the long-term affordability of the Devenscrest housing development and prevent housing instability and displacement; provided further, that not more than 7 per cent of the funding shall be retained by the Massachusetts Law Reform Institute, Inc. for the administrative costs associated with administering the funds"
Dighton Water District for Brook Street Well,Somerset,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for the Dighton Water District for the Brook street well"
Dimock Center Men's Crisis Stabilization Service Unit,Boston,5000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,15992026,"provided further, that not less than $5,000,000 shall be expended for a men’s crisis stabilization service unit at the Dimock Center in the Roxbury section of the city of Boston"
"Disabled American Veterans, Marshfield Memorial Chapter",Marshfield,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to the Disabled American Veterans, Marshfield Memorial Chapter No. 35, in the town of Marshfield"
Discover Brookline Website Expansion,Brookline,85000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $85,000 shall be made available to the Brookline Chamber of Commerce to update and expand the Discover Brookline website to spotlight local businesses, attractions and town resources"
Dismas House Homelessness Prevention,Worcester County,200000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $200,000 shall be expended for Dismas House of Massachusetts, Inc. for a new permanent housing program serving homeless former offenders and their families in Worcester county"
"Diversity, Equity, and Inclusion Initiatives in Hopkinton",Hopkinton,100000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $100,000 shall be expended to the town of Hopkinton for initiatives to promote and increase equity, diversity and inclusion across all town services and agencies"
Doshi Exhibit,Boston,100000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for the Boston Architectural College for hosting the Doshi Exhibit"
Douglas Orchard and Farm Infrastructure,Douglas,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $50,000 shall be expended to the Douglas Orchard & Farm for sustainable farming infrastructure in the town of Douglas"
Downtown Improvement Projects in Manchester,Manchester,50000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $50,000 shall be expended for the planning and design of downtown improvement projects in the town of Manchester-by-the-Sea"
Downtown Water and Sewer Improvements,Winchendon,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $100,000 shall be expended to the town of Winchendon for water and sewer improvements in the downtown area"
Dracut Broadway Road Improvements,Dracut,50000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that not less than $50,000 shall be expended for the town of Dracut to improve community access and public safety around the crosswalk on Broadway road adjacent to Veterans memorial park"
Dredging of Sales Creek and Greens Creek,Revere,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended to the city of Revere for the purpose of dredging and rehabilitation of Sales creek and Green’s creek"
Dudley Street Open Space Redevelopment,Boston,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended to the city of Boston for the development of urban open space at 581 Dudley street in the Roxbury section of the city of Boston to improve climate resiliency and provide outdoor recreation space"
Duffy Health Center,Cape Cod,100000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $100,000 shall be expended for service expansions for Duffy Health Center, Inc."
Dugger Park Construction and Improvements,Medford,150000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $150,000 shall be expended for the city of Medford for construction, upgrades and improvements to the historic Dugger park"
Dunn Road Pump Station Repair,Framingham,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended for repair of Dunn road pump station"
Dunstable Public Safety Improvements,Dunstable,50000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992058,"provided further, that $50,000 shall be expended to the town of Dunstable for public safety improvements"
Duxbury Wastewater Treatment,Duxbury,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $100,000 shall be expended to the town of Duxbury for improvements and repairs to the wastewater treatment facility"
Dwelling House of Hope in Lowell,Lowell,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that $50,000 shall be expended to Dwelling House of Hope, Inc. in the city of Lowell"
E.N. Jencks Store Roof Repairs,Douglas,40000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70022023,"provided further, that not less than $40,000 shall be expended to the historic E.N. Jenckes Store in the town of Douglas"
East Boston Community Development Corporation,Boston,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended to the East Boston Community Development Corporation, for the acquisition of residential units to be maintained as affordable housing"
East Boston Community Soup Kitchen Facilities Rennovation,Boston,100000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $100,000 shall be expended to the East Boston Community Soup Kitchen, Inc. for the renovation of facilities utilized to support operations and the distribution of food assistance"
East Boston Harborside Community School,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended to the East Boston Harborside Community school to provide adult education and workforce training services, including through improved access to technology, stipends and assistance for adult learners"
East Boston Neighborhood Health Center Behavioral Health Services,Boston,7000000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,15992026,"and provided further, that not less than $7,000,000 shall be expended for a federally qualified community health center with a satellite emergency facility that is open 24 hours per day, 7 days per week and that is licensed under 105 C.M.R. 130 for the purpose of expansion of behavioral health urgent care services to address the behavioral health crisis exacerbated by the 2019 novel coronavirus"
East Boston Social Center,Boston,300000,EEC - Department Of Early Education & Care,sean.reynolds@mass.gov,70100013,"provided further, that not less than $300,000 shall be expended for the East Boston Social Centers, Inc., to provide child care services, improving teacher pay and benefits and making financial aid scholarships available to families"
East End House Food Pantry,Cambridge,50000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $50,000 shall be expended for the East End House in Cambridge"
East Middle School Soccer Field Improvements,Brockton,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended to the city of Brockton for irrigation, growing and grass improvements at the East middle school soccer field"
East Somerville Sound Barriers,Somerville,250000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992058,"provided further, that not less than $250,000 shall be expended for the geotechnical engineering, design and construction of highway sound and particulate barriers in the States Avenue area of the East Somerville section of the city of Somerville"
East Walpole Satellite Emergency Medical Services Facility,Walpole,100000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $100,000 shall be expended to the town of Walpole for improvements to the satellite emergency medical services facility opened in response to the pandemic and the closure of Norwood Hospital due to a historic climate hazard occurring during the pandemic"
"Easthampton Community Center, Inc. for Services Addressing Food Insecurity",Easthampton,100000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $100,000 shall be expended to Easthampton Community Center, Inc. in the city of Easthampton to expand services addressing food insecurity"
Easthampton Library Improvements,Easthampton,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,70021530,"provided further, that not less than $50,000 shall be expended for the Emily Williston Memorial Library and Museum in the city of Easthampton"
Easthampton Outdoor Spaces,Easthampton,10000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $10,000 shall be expended to the parks and recreation department in the city of Easthampton for the expansion of pandemic friendly and safe outdoor spaces"
Easton Housing Authority,Easton,22000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $22,000 shall be expended to the Easton housing authority to make facilities upgrades to the heating, ventilation and air conditioning and electrical systems"
Easton PFAS Water Treatment,Easton,2000000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $2,000,000 shall be expended for PFAS treatment plants in the town of Easton"
Easton School Tutoring Services,Easton,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further that $100,000 be expended to the town of Easton for additional tutoring services for students of the Easton public schools"
Economic Development at Norfolk County MBTA Transit Stations,Norfolk County,50000000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992043,"provided further, that not less than $50,000,000 shall be transferred to the MBTA for economic development improvements to transit stations in Norfolk county"
Edward Kennedy Institute,Boston,5000000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $5,000,000 shall be expended for debt service obligations incurred by the Edward M. Kennedy Institute for the United States Senate, Inc. so that said Institute may continue offering civic education programming to the public"
Elder Fraud Services,Worcester,25000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $25,000 shall be expended to the Central Massachusetts Agency on Aging, Inc. for elder fraud services"
Electric School Buses for Lexington,Lexington,350000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,70100013,"provided that not less than $350,000 shall be expended for Lexington public schools for electric school buses and charging infrastructure"
Eliot Family Resource Center in Everett,Everett,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended to the Eliot Family Resource Center in the city of Everett"
"Elizabeth ""Mum Bett"" Freeman Monument",Sheffield,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended for the construction of a monument dedicated to Elizabeth “Mum Bett” Freeman in Sheffield"
Emergency PFAS Mitigation for the Manley St Well,West Bridgewater,100000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $100,000 shall be expended for implementation of immediate, emergency perfluoroalkyl and polyfluoroalkyl substances mitigation measures required at the Manley street well by the West Bridgewater board of water commissioners"
Emergency Service Equipment in Groveland,Groveland,21000,EPS - Executive Office Of Public Safety & Homeland Security,Brian.Merrick@mass.gov,15992058,"provided further, that $21,000 shall be expended for hands free CPR Devices for emergency service personnel for the town of Groveland"
Energy Efficient Lighting Upgrades Keaney Park,Lynn,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for energy efficient lighting upgrades at Keaney park in the city of Lynn"
Engineering Analysis for Rehabilitation of Little River Levee,Westfield,50000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $50,000 shall be expended to the city of Westfield for an engineering analysis for the complete rehabilitation of the Little river levee"
Engineering and Planning Study for Sidewalk Expansion,Barnstable,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended to the town of Barnstable for an engineering and planning study of extending and repairing sidewalks along Route 6A in the area east of Barnstable-West Barnstable elementary school, and then running east therefrom"
Enrichment Center in Dorchester,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $100,000 shall be expended for Enrichment center in Dorchester"
Entrepreneurship for All - Cape Cod,Cape Cod,50000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for program support to Entrepreneurship for All - Cape Cod to support new businesses"
Equipment Upgrades for Public Library Online Services,Malden,100000,DOR - Department Of Revenue,krzywickil@dor.state.ma.us,15992032,"provided further, that not less than $100,000 shall be expended to the city of Malden for equipment upgrades for the advancement of online services of the Malden public library"
Essex County Community Foundation/Hispanic Culture Promotion,Essex County,60000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $60,000 shall be expended for Essex County Community Foundation Incorporated to distribute grants, and for the costs associated with grant distribution, to Ateneo Dominicana Cultural Del Merrimack Valley, Semana Hispana de Lawrence and Instituto Cultural de Puerto Rico, Inc. to recoup lost revenue as a result of the COVID-19 and for efforts to maintain and promote Hispanic culture in the Merrimack Valley"
Essex County Habitat for Humanity,Essex County,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for the Essex County Habitat for Humanity to provide affordable housing options to residents of the county of Essex"
E-Team Machinist Training Program,Lynn,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended for the E-Team Machinist Training program in the city of Lynn"
Everett First Time Home Buyers Program,Everett,400000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $400,000 shall be expended for a financial assistance program to benefit the city of Everett residents who are first time home buyers"
Everett Grace Food Pantry,Everett,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to the Everett Grace Food Pantry in the city of Everett"
Everett Haitian Community Center,Everett,50000,EHS - Executive Office Of Health And Human Services,Thomas.Statuto@mass.gov,40000013,"provided further, that not less than $50,000 shall be expended to the Everett Haitian Community Center in the city of Everett"
Everett High School Band,Everett,50000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $50,000 shall be expended for the music program for the Everett High School band in the city of Everett"
Everett LGBTQ+ Youth Space and Resource Center,Everett,25000,DCF - Department Of Children And Families,emily.hajjar@mass.gov,70100013,"provided further, that not less than $25,000 shall be expended to the Everett LGBTQ+ Youth Space and Resource Center in the city of Everett"
Everett Substance Abuse Prevention Counselors,Everett,300000,DPH - Department Of Public Health,robert.w.oliver2@mass.gov,45130101,"provided further, that not less than $300,000 shall be expended to the City of Everett to hire additional substance abuse counselors to work with the Everett Police Department and the Everett Department of Public Health to provide support and assistance to unhoused members of the community"
Expanded Refrigeration for the Mystic Community Market,Medford,55000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $55,000 shall be expended to the Mystic Valley YMCA for expanded refrigeration for the Mystic community market in the city of Medford"
Expanding Youth Employment Opportunities in Boston,Boston,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided, that not less than $100,000 shall be expended for the employment of youth residents of Boston Housing Authority developments in local small businesses and non-profits"
Extension of Southern New England Trunkline Trail,Franklin,700000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $700,000 shall be expended for the extension of the Southern New England Trunkline trail to downtown Franklin"
Facility at Chicopee Comprehensive High School,Chicopee,75000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $75,000 shall be expended for Chicopee comprehensive high school to construct a new maintenance facility to allow for the expansion of heating, ventilation and air conditioning and plumbing career and technical education programming"
Facility Upgrades for Clarksburg State Park,North Adams,50000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $50,000 shall be expended for the purposes of facility upgrades to Clarksburg state park"
Facility Upgrades for Natural Bridge State Park,North Adams,35000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $35,000 shall be expended for the purposes of facility upgrades to Natural Bridge state park"
Facility Upgrades for Savoy Mountain State Forest,North Adams,35000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $35,000 shall be expended for the purposes of facility upgrades to the Savoy Mountain state forest"
Fairwinds-Nantucket Counseling Center,Nantucket,60000,DMH - Department Of Mental Health,stephen.cidlevich@mass.gov,50110101,"provided further, that not less than $60,000 shall be expended for Fairwinds-Nantucket’s Counseling Center, Inc. for expansion of mental health services to underserved residents"
Fall River Arts & Culture Coalition,Fall River,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended for the Fall River Arts & Culture Coalition to provide programming for arts and culture projects committed to equity, accessibility and collaboration in Fall River"
Falmouth Water Main Replacement,Falmouth,250000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,20000015,"provided further, that not less than $250,000 shall be made available for the town of Falmouth for water main replacements"
Farmers Market at Forest Park,Springfield,75000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $75,000 shall be expended to Mass Farmers Markets to support the Springfield Forest Park Farmers Market in the city of Springfield"
"Fenway Civic Association, Inc. for Fenway Cares Mutual Aid Initiative",Boston,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to Fenway Civic Association, Inc. for the purpose of funding the Fenway cares mutual aid initiative, including administrative costs, to distribute fresh food and personal protective equipment to food-insecure Fenway-area residents of the city of Boston"
First Night in City of Boston,Boston,250000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $250,000 shall be expended for First Night in the City of Boston"
Fitchburg Homelessness Intervention Coordinator,Fitchburg,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that that not less than $100,000 shall be expended to the city of Fitchburg for the establishment of a homelessness intervention coordinator to assist in providing long-term housing placements for individuals in need"
Fitchburg Theater Block,Fitchburg,3000000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70021530,"provided further, that not less than $3,000,000 shall be made available to Fitchburg State University for the purpose of renovating the historic theater block"
Fitchburg Youth Innovation Center,Fitchburg,100000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for Making Opportunity Count (MOC) for the completion of the Youth Innovation Center, which will allow students access to a creative space and critical resources in a disproportionately affected neighborhood"
Flooding Alleviation Study for Strawberry Brook in Lynn,Lynn,100000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,15992031,"provided further, that not less than $100,000 shall be expended for a study to alleviate flooding from collapsed underground culverts along Strawberry brook in the city of Lynn"
Food Bank Establishment,Shrewsbury,75000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $75,000 shall be expended for the town of Shrewsbury to establish a food bank and related programs to be operated by the town in partnership with private non-profit organizations currently operating on a limited basis"
Food For Free in Cambridge,Cambridge,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to Food For Free Committee, Incorporated in the city of Cambridge"
Food Insecurity Restaurant Meals Program,North Andover,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended to fund a food insecurity restaurant meals program in the town of North Andover in partnership with the MVYMCA and Groundwork Lawrence, Inc."
Forbes House Museum,Milton,30000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $30,000 shall be expended for the Forbes House Museum in Milton"
Forbush Mill Road Culvert Replacement,Bolton,400000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992032,"provided further, that not less than $400,000 shall be expended for the town of Bolton for the complete replacement of the culvert on Forbush Mill road"
Fowl Meadow Enviornmental Protection in Readville,Boston,150000,DOT - Massachusetts Department Of Transportation,jon.lenicheck@dot.state.ma.us,15992032,"provided further, that not less than $150,000 shall be expended to the city of Boston for enhancements to Meadow road in the Readville neighborhood of Boston to preserve and protect the Fowl meadow, an Area of Critical Environmental Concern"
Foxborough Affordable Housing Infrastructure,Foxborough,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for signal and sewer infrastructure to support up to 250 affordable housing units through the Foxborough Housing Authority in the town of Foxborough"
Framingham Public Schools Welcome Center Health Clinic,Framingham,250000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $250,000 shall be expended for the construction of a health clinic at the Framingham public schools welcome center"
Framingham State University Water and Sewer Infrastructure,Framingham,500000,DEP - Department Of Environmental Protection,steven.mccurdy@mass.gov,15992058,"provided further, that not less than $500,000 shall be expended to Framingham State University for water and sewer infrastructure improvements at the Warren Conference Center"
Franklin County and North Quabbin Affordable Housing,Franklin,370000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $370,000 shall be expended for Rural Development Inc. for operating costs and expenses incurred from the development of affordable housing in Franklin county and the North Quabbin region"
Franklin County and North Quabbin Public Housing Repairs and Improvements,Franklin,221500,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $221,500 shall be expended for Franklin County Regional Housing and Redevelopment Authority for maintenance, repairs, renovations and improvements to properties in Franklin county and the North Quabbin region"
Franklin County Outdoor Recreation,Charlemont,500000,DCR - Department Of Conservation And Recreation,max.j.tassinari@mass.gov,28000111,"provided further, that not less than $500,000 shall be provided to Charlemont parks and recreation commission in the town of Charlemont to enhance the outdoor recreation economy in the county of Franklin"
Frederick Douglass House,New Bedford,50000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $50,000 shall be expended for the Frederick Douglass House in New Bedford"
Freetown Food Pantry Expansion,Freetown,50000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $50,000 shall be expended for the Freetown Food Pantry for expansion costs including engineering, materials and labor"
"Friendly Food Pantry of Randolph, Inc.",Randolph,5000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"(e) Friendly Food Pantry of Randolph, Inc."
Friendly House Inc. Transitional Housing Services,Worcester County,100000,DHCD - Dept Of Housing And Community Development,alain.fabo@mass.gov,70049318,"provided further, that not less than $100,000 shall be expended for Friendly House, Inc. for transitional housing services in Worcester county"
Friends of Reggie Wong Park Inc,Boston,200000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $200,000 shall be expended for the Friends of Reggie Wong Park Inc., for improvements to Reggie Wong Park in Boston"
Friends of the Public Garden in Boston,Boston,75000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $75,000 shall be expended for the Friends of the Public Garden, Inc. for hosting the unveiling of the restored Shaw Memorial in the Boston Common in the city of Boston"
"Friendship Home, Inc.",Norwell,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to Friendship Home, Inc. in the town of Norwell"
Funding for the Burlington Area Chamber of Commerce,Burlington,150000,SEA - Department Of Business And Technology,nhat.le@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended to the Burlington Area Chamber of Commerce, Inc. to support programming and membership for local businesses"
George R. Bean American Legion Post,Weymouth,25000,ANF - Executive Office For Administration And Finance,daniel.shark@mass.gov,15992058,"provided further, that not less than $25,000 shall be expended to the George R. Bean American Legion Post in the city known as the town of Weymouth"
Gill Elementary School,Gill,75000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $75,000 shall be expended for the town of Gill for improvements to the Gill elementary school"
Girls Inc. of Taunton,Taunton,5000,EEC - Department Of Early Education & Care,sean.reynolds@mass.gov,70100013,"provided further, than not less than $5,000 shall be expended for Girls Inc. of Taunton"
Gloucester 400th Anniversary,Gloucester,175000,MMP - Massachusetts Marketing Partnership,Phyllis.cahaly@mass.gov,15992043,"provided further, that not less than $175,000 shall be expended for Gloucester Celebration Corporation for the planning and celebration of the 400th anniversary of the settlement of Gloucester"
Gloucester Biotechnology Academy,Gloucester,500000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $500,000 shall be expended for Gloucester Marine Genomics Institute, Inc. for costs incurred in association with the expansion of the Gloucester Biotechnology Academy, and for hiring and training of instructors at the Gloucester Biotechnology Academy; provided further, that said funds shall be available for the hiring and training of instructors by Gloucester Marine Genomics Institute, Inc. until June 30, 2026"
Gloucester Marine Genomics Institute Research Program,Gloucester,500000,MDAR - Department Of Agricultural Resources,cullen.roberts2@mass.gov,15992050,"provided further, that not less than $500,000 shall be expended for Gloucester Marine Genomics Institute, Incorporated for a research program to examine the impact of climate change on food resources, in conjunction with Northeastern University marine lab, the Tufts University school of nutrition, the Tufts Veterinary School and the University of Massachusetts at Amherst school of sustainability"
Golden Triangle Economic Recovery,Natick & Framingham,150000,HED - Executive Office Of Economic Development,rory.c.ohanlon@mass.gov,15992043,"provided further, that not less than $150,000 shall be expended for economic recovery planning support for the “Golden Triangle” to mitigate impacts from the 2019 novel coronavirus pandemic"
Grafton HVAC Upgrades,Grafton,100000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100013,"provided further, that not less than $100,000 shall be expended for town of Grafton to replace and upgrade the heating and ventilation units within the Grafton public schools"
Grafton Public Schools Security Upgrade,Grafton,125000,DESE - Department Of Elementary & Secondary Education,jjou@mass.gov,70100015,"provided further, that not less than $125,000 shall be expended to the town of Grafton for security upgrades within the Grafton public schools"
